,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,City,AQI_Bucket,day
0,83.13,191.37,6.93,28.71,33.72,6.350000000000001,6.93,49.52000000000001,59.76,0.020000000000000018,0.0,209.0,Ahmedabad,Poor,weekday
1,79.84,199.05200000000002,13.85,28.68,41.08,12.86,13.85,48.49000000000001,97.07,0.040000000000000036,0.0,328.0,Ahmedabad,Very Poor,weekday
2,94.52,119.556,24.39,32.66,52.61,7.491999999999997,24.39,67.39,111.32999999999998,0.23999999999999977,0.009999999999999787,514.0,Ahmedabad,Severe,Weekend
3,135.99,149.97,43.48,42.08,84.57,6.427999999999997,43.48,75.23,102.69999999999999,0.3999999999999999,0.03999999999999915,782.0000000000001,Ahmedabad,Severe,Weekend
4,178.33,154.71800000000002,54.56,35.31,72.8,7.260000000000002,54.56,55.040000000000006,107.38,0.45999999999999996,0.0600000000000005,913.9999999999999,Ahmedabad,Severe,weekday
5,139.7,218.38599999999997,30.61,28.4,56.73,18.439999999999998,30.61,33.79,73.6,0.16999999999999993,0.02999999999999936,660.0,Ahmedabad,Severe,weekday
6,80.65,181.624,2.370000000000001,22.83,24.0,14.129999999999997,2.37,25.73,47.3,0.0,0.0,294.0,Ahmedabad,Poor,weekday
7,58.36,98.14,2.5999999999999996,21.39,23.31,40.334,2.6,32.66,53.54,0.0,0.0,149.0,Ahmedabad,Moderate,weekday
8,79.29,157.156,1.1600000000000001,26.94,26.83,14.168000000000001,1.16,67.41,59.3,0.0,0.0,190.0,Ahmedabad,Moderate,weekday
9,88.7,199.152,7.289999999999999,31.32,37.73,7.256,7.290000000000001,80.09,44.76,0.0,0.0,247.0,Ahmedabad,Poor,Weekend
10,74.28,172.50799999999998,8.92,27.3,33.42,6.673999999999996,8.92,54.28,47.42,0.0,0.0,379.0,Ahmedabad,Very Poor,Weekend
11,113.93,285.72999999999996,4.3199999999999985,24.27,26.86,4.839999999999996,4.32,48.730000000000004,39.94,0.020000000000000018,0.0,341.0,Ahmedabad,Very Poor,weekday
12,105.39,155.642,1.4100000000000001,18.21,18.75,31.215999999999998,1.41,35.91,56.15,0.0,0.0,256.0,Ahmedabad,Poor,weekday
13,66.52,243.39999999999998,6.340000000000002,23.8,28.24,6.513999999999996,6.34,66.58,53.14,9.7,9.63,388.0,Ahmedabad,Very Poor,weekday
14,65.04,151.516,14.19,30.1,44.21,6.341999999999999,14.19,65.91,31.88,7.720000000000001,17.46,288.0,Ahmedabad,Poor,weekday
15,103.36,134.126,18.18,39.56,57.33,6.681999999999999,18.18,80.43,40.11,11.29,24.35,510.0,Ahmedabad,Severe,weekday
16,177.33,121.802,37.49,47.58,77.85,6.707999999999998,37.49,99.72,36.47,17.0,52.66,761.0,Ahmedabad,Severe,Weekend
17,113.25,213.49599999999998,15.55,30.5,44.87,6.663999999999998,15.55,69.71,33.78,10.47,28.53,475.0,Ahmedabad,Severe,Weekend
18,99.7,283.808,19.85,28.1,47.31,6.667999999999999,19.85,73.23,30.57,10.28,31.25,536.0,Ahmedabad,Severe,weekday
19,80.61,254.062,15.96,21.04,35.67,6.612000000000002,15.96,54.7,36.2,8.14,18.75,479.0,Ahmedabad,Severe,weekday
20,100.79,114.102,16.24,25.93,41.91,18.044,16.24,43.11,37.43,10.0,32.41,592.0,Ahmedabad,Severe,weekday
21,107.99,308.65,11.25,30.09,40.47,6.475999999999999,11.25,84.86000000000001,31.94,9.2,24.03,427.0,Ahmedabad,Severe,weekday
22,140.29,185.346,33.84,36.14,68.85,6.602000000000004,33.839999999999996,101.53,40.98,20.12,43.51,588.0,Ahmedabad,Severe,weekday
23,239.96,173.758,61.95,46.25,106.91999999999999,6.661999999999999,61.95000000000001,84.87,33.55,22.14,53.98,1141.0,Ahmedabad,Severe,Weekend
24,142.96,141.53,45.45,48.21,92.32,6.690000000000001,45.45,62.96000000000001,34.77,7.35,22.4,669.0,Ahmedabad,Severe,Weekend
25,238.41,270.486,77.7,55.07,131.32,6.704000000000001,77.7,89.07,37.3,50.61,163.64,1247.0,Ahmedabad,Severe,weekday
26,118.72,144.588,12.56,32.01,42.56,6.334,12.56,61.540000000000006,38.8,16.89,46.52,411.0,Ahmedabad,Severe,weekday
27,52.99,227.95799999999997,2.2300000000000004,10.45,10.39,9.476,2.23,32.76,67.25,3.85,11.39,292.0,Ahmedabad,Poor,weekday
28,60.78,175.964,9.07,18.21,27.34,6.399999999999999,9.07,29.48,34.75,2.05,0.5500000000000007,189.0,Ahmedabad,Moderate,weekday
29,91.83,197.93599999999998,12.99,28.71,40.76,23.77,12.99,39.71,38.46,2.69,1.7399999999999993,408.0,Ahmedabad,Severe,weekday
30,93.88,226.606,18.21,29.38,47.01,6.398,18.21,62.75,46.79,5.21,2.5500000000000007,383.0,Ahmedabad,Very Poor,weekday
31,173.01,142.15,48.44,42.27,90.73,6.597999999999995,48.44,78.76,59.39,9.72,9.96,780.0,Ahmedabad,Severe,weekday
32,71.56,186.34,3.509999999999998,16.83,20.32,8.991999999999997,3.51,30.28,57.16,3.95,8.01,190.0,Ahmedabad,Moderate,Weekend
33,119.8,192.244,4.130000000000001,24.07,27.9,7.2740000000000045,4.13,50.35000000000001,50.49,4.85,12.15,233.0,Ahmedabad,Poor,weekday
